under-five deaths,infant deaths,Adult Mortality,HIV/AIDS,Schooling,Income composition of resources,Diphtheria,BMI,Polio,Life expectancy
0.6854847729306559,0.5402254271123121,1.7830485900432078,0.14928273113108936,-1.7135696936623686,-1.037923619635068,-3.3137552650011095,-1.0600755163904902,-3.3642976787891796,47.1
0.7041858881163273,0.5487067287376065,1.7991699278302968,0.12958575066388942,-1.8667641492008054,-1.0818721766295938,-3.3137552650011095,-1.0801515192638256,-3.3642976787891796,46.8
0.7166532982401084,0.557188030362901,1.8233519345109306,0.1098887701966895,-1.9893197136315548,-1.1062880416265528,-1.7483498470911647,-1.105246522855495,-1.950910573904819,46.5
0.7291207083638893,0.5656693319881954,-0.9737001715490307,0.07049480926228971,-2.1118752780623042,-1.1551197716204706,-1.8752746107054847,-1.1303415264471643,-1.7795909248279267,45.7
0.7353544134257798,0.5656693319881954,-0.9414574959748524,0.05079782879508978,-2.265069733600741,-1.1990683286149968,-2.298357156086551,-1.1504175293205,-3.4071275910584027,45.3
-0.2620383964766972,-0.2570169256653636,-1.2235809072489119,-0.3037478196145087,0.5843471394141816,0.7639672171405,0.7055289161190191,0.470719702701342,0.14775512728711043,76.4
-0.2620383964766972,-0.2570169256653636,-0.27242197781065425,-0.3037478196145087,0.5843471394141816,0.7542008711417164,0.7055289161190191,0.43558669767300473,0.5760542499793408,76.2
-0.2620383964766972,-0.2570169256653636,-0.2563006400235651,-0.3037478196145087,0.5843471394141816,0.7493176981423246,0.7055289161190191,0.4054726933630014,0.661714074517787,76.1
-0.2620383964766972,-0.2570169256653636,-0.24823997113002058,-0.3037478196145087,0.5537082483064945,0.7346681791441493,0.6632206615809125,0.37033968833466446,0.6188841622485639,75.9
-0.2620383964766972,-0.2570169256653636,-0.23211863334293145,-0.3234448000817086,0.6456249216295561,0.7542008711417164,0.7055289161190191,0.3402256840246612,0.70454398678701,75.7
-0.2620383964766972,-0.2570169256653636,-0.21599729555584235,-0.3234448000817086,0.6456249216295561,0.7590840441411082,0.6632206615809125,0.3050926789963239,0.70454398678701,75.6
-0.2620383964766972,-0.2570169256653636,-1.2155202383553674,-0.3234448000817086,0.6762638127372433,0.7834999091380672,0.7055289161190191,0.2749786746863206,0.661714074517787,75.4
-0.2620383964766972,-0.2570169256653636,-0.18375461998166412,-0.3234448000817086,0.7375415949526183,0.7737335631392837,0.7055289161190191,0.2448646703763176,0.70454398678701,75.2
-0.2620383964766972,-0.2570169256653636,-0.167633282194575,-0.3234448000817086,0.7681804860603055,0.7493176981423246,0.7055289161190191,0.2147506660663143,0.661714074517787,75.0
-0.2620383964766972,-0.2570169256653636,-0.15957261330103045,-0.3234448000817086,0.82945826827568,0.7102523141471904,0.7055289161190191,0.18463666175631097,0.70454398678701,74.8
-0.2620383964766972,-0.2570169256653636,-0.14345127551394132,-0.3234448000817086,-3.6744587245543583,-3.064440414382658,0.7055289161190191,0.15452265744630764,0.661714074517787,74.6
-0.2620383964766972,-0.2570169256653636,-0.12732993772685222,-0.3234448000817086,-3.6744587245543583,-3.064440414382658,0.6209124070428059,-1.6824316054638908,0.6188841622485639,74.4
-0.2620383964766972,-0.2570169256653636,-0.1112085999397631,-0.3234448000817086,-3.6744587245543583,-3.064440414382658,0.7055289161190191,-1.7175646104922278,0.70454398678701,74.2
-0.2620383964766972,-0.2570169256653636,-0.09508726215267399,-0.3234448000817086,-3.6744587245543583,-3.064440414382658,0.6632206615809125,0.05916164379796408,0.44756451317167173,74.0
-0.2620383964766972,-0.2570169256653636,-0.08702659325912944,-0.3234448000817086,-3.6744587245543583,-3.064440414382658,0.6209124070428059,0.029047639487960752,0.70454398678701,73.8
-0.2620383964766972,-0.2570169256653636,-0.07090525547204032,-0.3234448000817086,-3.6744587245543583,-3.064440414382658,0.5362958979665927,-0.006085365540376164,0.5760542499793408,73.6
-0.20593505091968287,-0.18916651266300824,-0.3933320112138226,-0.3234448000817086,1.6260694370755513,0.9690604831149545,0.49398764342848606,1.228588811169757,0.44756451317167173,76.3
